src,dst,type,label
29982,29983,269,concept:televisionstationincity
9404,9364,38,concept:agentcontrols_inv
7043,4643,18,concept:locationlocatedwithinlocation_inv
3255,24371,8,concept:subpartof_inv
65076,40838,157,concept:athleteplaysforteam
42115,39442,298,concept:sportusesequipment_inv
35004,35005,219,concept:airportincity
69416,5130,123,concept:headquarteredin
27321,1934,237,concept:teamplaysagainstteam
564,3464,15,concept:mutualproxyfor
858,19354,10,concept:atdate_inv
38,40244,96,concept:subpartoforganization_inv
51466,51469,135,concept:professionistypeofprofession
45989,45199,312,concept:academicprogramatuniversity_inv
7343,1276,206,concept:animalthatfeedoninsect_inv
26720,5024,23,concept:atlocation
27869,71519,30,concept:topmemberoforganization_inv
68615,59173,373,concept:politicianusendorsedbypoliticianus
19981,55890,110,concept:itemfoundinroom_inv
40499,39821,238,concept:teamplaysagainstteam_inv
3,485,37,concept:agentcontrols
17683,26410,8,concept:subpartof_inv
5679,61452,60,concept:persongraduatedfromuniversity_inv
859,15266,10,concept:atdate_inv
55652,26164,109,concept:itemfoundinroom
7465,17391,107,concept:competeswith
960,37126,4,concept:proxyfor_inv
72795,72813,390,concept:automakerproducesmodel_inv
28373,570,9,concept:atdate
64860,1304,157,concept:athleteplaysforteam
1340,1070,111,concept:istallerthan
12876,29,38,concept:agentcontrols_inv
71531,71532,27,concept:personleadsorganization
62315,62316,189,concept:musicianinmusicartist
570,12791,10,concept:atdate_inv
17377,48964,76,concept:animalistypeofanimal_inv
39411,40797,238,concept:teamplaysagainstteam_inv
11562,22928,51,concept:agentactsinlocation
54738,2977,171,concept:beveragemadefrombeverage
19354,1544,9,concept:atdate
53837,53110,365,concept:weaponssuchasweapons
47520,57778,332,concept:drugpossiblytreatsphysiologicalcondition_inv
6455,879,85,concept:personchargedwithcrime
18266,718,7,concept:subpartof
13128,66784,226,concept:athleteflyouttosportsteamposition_inv
6258,1356,9,concept:atdate
32866,29370,178,concept:teamplaysincity_inv
51506,51373,135,concept:professionistypeofprofession
2203,65281,152,concept:coachwontrophy_inv
633,73244,170,concept:hasofficeincity_inv
59272,69726,384,concept:visualartistartform_inv
11735,667,41,concept:objectpartofobject
3787,716,9,concept:atdate
1609,32873,31,concept:organizationhiredperson
1436,14693,231,concept:agriculturalproductcookedwithagriculturalproduct
52321,58849,363,concept:arterycalledartery
24531,717,9,concept:atdate
31559,31556,242,concept:riveremptiesintoriver_inv
52168,54246,352,concept:agriculturalproductcontainchemical_inv
4760,4398,170,concept:hasofficeincity_inv
52152,1129,173,concept:persondiedincountry
52188,52197,109,concept:itemfoundinroom
1312,32587,15,concept:mutualproxyfor
18955,18954,133,concept:personalsoknownas
61182,61181,244,concept:actorstarredinmovie_inv
9897,39513,238,concept:teamplaysagainstteam_inv
40264,4078,179,concept:teamplaysinleague
45126,68068,376,concept:politicianusholdsoffice_inv
13128,65282,226,concept:athleteflyouttosportsteamposition_inv
2872,32845,276,concept:statelocatedincountry_inv
52501,816,71,concept:touristattractionsuchastouristattraction
54872,48699,345,concept:agriculturalproductincludingagriculturalproduct
42899,43594,43,concept:agentcreated
574,75048,14,concept:agentparticipatedinevent_inv
19262,61708,189,concept:musicianinmusicartist
1284,718,7,concept:subpartof
27631,2024,21,concept:companyeconomicsector
10918,73126,170,concept:hasofficeincity_inv
51473,4165,136,concept:professionistypeofprofession_inv
52482,52483,69,concept:thinghasshape
10071,40021,237,concept:teamplaysagainstteam
209,35218,397,concept:leaguestadiums
9909,568,7,concept:subpartof
48702,17377,78,concept:animalpreyson_inv
17331,1562,9,concept:atdate
746,21292,64,concept:personmovedtostateorprovince_inv
29996,12883,96,concept:subpartoforganization_inv
22782,5682,59,concept:persongraduatedfromuniversity
2204,18157,264,concept:teamwontrophy_inv
69525,69524,73,concept:organizationterminatedperson
9963,36004,18,concept:locationlocatedwithinlocation_inv
1367,241,10,concept:atdate_inv
45274,744,311,concept:academicprogramatuniversity
57235,816,71,concept:touristattractionsuchastouristattraction
15657,39962,263,concept:teamwontrophy
22045,22044,68,concept:haswife_inv
13128,65527,226,concept:athleteflyouttosportsteamposition_inv
7769,11373,286,concept:countrylocatedingeopoliticallocation_inv
7180,24584,22,concept:companyeconomicsector_inv
58699,2401,40,concept:bodypartcontainsbodypart_inv
23957,23961,97,concept:agentcontributedtocreativework
9146,4494,52,concept:agentactsinlocation_inv
1896,879,85,concept:personchargedwithcrime
75464,77,0,concept:agentbelongstoorganization
28120,564,3,concept:proxyfor
7505,59889,158,concept:athleteplaysforteam_inv
716,12125,10,concept:atdate_inv
1451,902,9,concept:atdate
13114,570,9,concept:atdate
54842,48760,231,concept:agriculturalproductcookedwithagriculturalproduct
29357,1035,326,concept:sportsgameteam_inv
934,11923,92,concept:organizationheadquarteredincountry_inv
43844,43843,310,concept:bookwriter_inv
624,29013,10,concept:atdate_inv
3240,4079,302,concept:sporthassportsteamposition_inv
51881,23510,136,concept:professionistypeofprofession_inv
6091,5083,8,concept:subpartof_inv
10590,68008,140,concept:politicianrepresentslocation_inv
48376,49063,343,concept:mammalsuchasmammal
5575,38,6,concept:agentcompeteswithagent_inv
1082,4086,237,concept:teamplaysagainstteam
11306,54379,209,concept:agriculturalproductcutintogeometricshape
27423,624,9,concept:atdate
38250,2205,32,concept:organizationhiredperson_inv
11289,11286,62,concept:persongraduatedschool_inv
14376,14377,9,concept:atdate
